"Date","AvgTemp","AvgSalinity","AvgDO","AvgpH","AvgTurbidity","Year","Month_Day"
2021-06-03,12.3166666666667,32.0483333333333,9.425,7.98333333333333,1.865,2021,"06/03"
2021-06-14,16.5288888888889,30.9311111111111,8.54888888888889,7.90333333333333,5.66777777777778,2021,"06/14"
2021-06-16,15.9425555555556,30.3733333333333,8.70777777777778,7.95444444444444,8.15555555555556,2021,"06/16"
2021-06-28,16.1366666666667,30.96,8.145,7.805,5.82666666666667,2021,"06/28"
2021-06-29,16.3492222222222,31.6666666666667,8.09111111111111,7.89,7.94333333333333,2021,"06/29"
2021-06-30,17.0686666666667,30.9833333333333,8.67444444444445,7.92333333333333,5.08222222222222,2021,"06/30"
2021-07-15,17.96,29.595,6.99166666666667,7.88166666666667,5.65833333333333,2021,"07/15"
2021-07-28,19.723,29.645,7.26166666666667,7.89166666666667,8.1,2021,"07/28"
2021-08-09,19.352,30.2216666666667,7.575,7.88666666666667,5.78666666666667,2021,"08/09"
2021-08-17,20.9762222222222,30.6866666666667,7.55666666666667,7.97888888888889,3.32777777777778,2021,"08/17"
2021-08-18,20.732,30.6755555555556,7.24777777777778,7.97,9.56,2021,"08/18"
2021-08-26,21.0993333333333,30.1916666666667,6.945,7.89666666666667,5.34,2021,"08/26"
2021-08-31,21.126,30.4788888888889,6.01,7.81888888888889,4.18888888888889,2021,"08/31"
2021-09-07,19.5408333333333,29.74,6.73333333333333,7.815,6.68,2021,"09/07"
2021-09-20,17.3618888888889,30.4444444444444,8.66555555555555,8.01777777777778,10.6683333333333,2021,"09/20"
2021-09-21,17.4671666666667,31.1833333333333,8.41666666666667,8.04333333333333,4.17166666666667,2021,"09/21"
2021-09-23,18.4772222222222,30.4,7.35333333333333,7.82555555555556,3.87444444444444,2021,"09/23"
2021-09-28,17.9576666666667,31.0188888888889,6.89,7.78444444444444,16.6942857142857,2021,"09/28"
2021-09-29,16.9266666666667,30.6677777777778,6.86222222222222,7.88777777777778,4.34666666666667,2021,"09/29"
2021-10-07,15.9937777777778,30.4511111111111,7.49777777777778,7.95222222222222,5.1,2021,"10/07"
2021-10-13,16.8926666666667,30.78,7.50166666666667,7.83,3.01833333333333,2021,"10/13"
2021-10-21,15.0375555555556,31.1444444444444,7.75888888888889,7.96888888888889,6.17571428571429,2021,"10/21"
